# vega universe v1 — built 2026-07-05
# equities: S&P 500 + Nasdaq-100 (Wikipedia constituent snapshot, Yahoo symbol notation)
# etfs: curated liquid list
# filter (equity/etf): median 60-session dollar volume >= $20,000,000
# crypto: CoinGecko top-20 mcap, ex stable/wrapped, Binance USDT pair
symbol,asset_class,name,coingecko_id,binance_symbol
WM,equity,"Waste Management",,
WMB,equity,"Williams Companies",,
WMT,equity,"Walmart",,
WRB,equity,"W. R. Berkley Corporation",,
WSM,equity,"Williams-Sonoma, Inc.",,
WST,equity,"West Pharmaceutical Services",,
WTW,equity,"Willis Towers Watson",,
WY,equity,"Weyerhaeuser",,
WYNN,equity,"Wynn Resorts",,
XEL,equity,"Xcel Energy",,
XOM,equity,"ExxonMobil",,
XYL,equity,"Xylem Inc.",,
XYZ,equity,"Block, Inc.",,
YUM,equity,"Yum! Brands",,
ZBH,equity,"Zimmer Biomet",,
ZBRA,equity,"Zebra Technologies",,
ZTS,equity,"Zoetis",,
DIA,etf,"SPDR Dow Jones",,
EEM,etf,"iShares MSCI Emerging Markets",,
EFA,etf,"iShares MSCI EAFE",,
GLD,etf,"SPDR Gold Shares",,
HYG,etf,"iShares High Yield Corp",,
IEF,etf,"iShares 7-10 Year Treasury",,
ITB,etf,"iShares U.S. Home Construction",,
IWM,etf,"iShares Russell 2000",,
KRE,etf,"SPDR S&P Regional Banking",,
LQD,etf,"iShares Investment Grade Corp",,
QQQ,etf,"Invesco Nasdaq-100",,
SLV,etf,"iShares Silver",,
SMH,etf,"VanEck Semiconductor",,
SPY,etf,"SPDR S&P 500",,
TLT,etf,"iShares 20+ Year Treasury",,
USO,etf,"United States Oil",,
VNQ,etf,"Vanguard Real Estate",,
XBI,etf,"SPDR S&P Biotech",,
XLB,etf,"Materials Select SPDR",,
XLC,etf,"Communication Services SPDR",,
XLE,etf,"Energy Select SPDR",,
XLF,etf,"Financial Select SPDR",,
XLI,etf,"Industrial Select SPDR",,
XLK,etf,"Technology Select SPDR",,
XLP,etf,"Consumer Staples SPDR",,
XLRE,etf,"Real Estate Select SPDR",,
XLU,etf,"Utilities Select SPDR",,
XLV,etf,"Health Care Select SPDR",,
XLY,etf,"Consumer Discretionary SPDR",,
XME,etf,"SPDR S&P Metals & Mining",,
BTC,crypto,"Bitcoin",bitcoin,BTCUSDT
ETH,crypto,"Ethereum",ethereum,ETHUSDT
BNB,crypto,"BNB",binancecoin,BNBUSDT
XRP,crypto,"XRP",ripple,XRPUSDT
SOL,crypto,"Solana",solana,SOLUSDT
TRX,crypto,"TRON",tron,TRXUSDT
DOGE,crypto,"Dogecoin",dogecoin,DOGEUSDT
ZEC,crypto,"Zcash",zcash,ZECUSDT
ADA,crypto,"Cardano",cardano,ADAUSDT
XLM,crypto,"Stellar",stellar,XLMUSDT
LINK,crypto,"Chainlink",chainlink,LINKUSDT
BCH,crypto,"Bitcoin Cash",bitcoin-cash,BCHUSDT
GRAM,crypto,"Gram (prev. Toncoin)",the-open-network,GRAMUSDT
LTC,crypto,"Litecoin",litecoin,LTCUSDT
HBAR,crypto,"Hedera",hedera-hashgraph,HBARUSDT
SUI,crypto,"Sui",sui,SUIUSDT
AVAX,crypto,"Avalanche",avalanche-2,AVAXUSDT
NEAR,crypto,"NEAR Protocol",near,NEARUSDT
SHIB,crypto,"Shiba Inu",shiba-inu,SHIBUSDT
XAUT,crypto,"Tether Gold",tether-gold,XAUTUSDT
